"seqnames";"start";"end";"width";"strand";"Conc";"Conc_dex";"Conc_veh";"Fold";"p.value";"FDR";"MPIPSYKL_003787";"MPIPSYKL_004171";"MPIPSYKL_002604";"MPIPSYKL_004054";"MPIPSYKL_001113";"MPIPSYKL_004100";"MPIPSYKL_003331";"MPIPSYKL_003520";"MPIPSYKL_004215";"MPIPSYKL_001946";"MPIPSYKL_004251";"MPIPSYKL_002802";"MPIPSYKL_003162";"MPIPSYKL_002658";"MPIPSYKL_002613";"MPIPSYKL_003231";"MPIPSYKL_002533";"MPIPSYKL_002418";"MPIPSYKL_001109";"MPIPSYKL_001786";"MPIPSYKL_003934";"MPIPSYKL_004246";"MPIPSYKL_001547";"MPIPSYKL_000637";"MPIPSYKL_001386";"MPIPSYKL_002468";"MPIPSYKL_002088";"MPIPSYKL_000972";"MPIPSYKL_003785";"MPIPSYKL_001389";"MPIPSYKL_003155";"MPIPSYKL_000708";"MPIPSYKL_001886";"MPIPSYKL_003013";"MPIPSYKL_000988";"MPIPSYKL_003472";"MPIPSYKL_003911";"MPIPSYKL_001701";"MPIPSYKL_002383";"MPIPSYKL_001766";"MPIPSYKL_002852";"MPIPSYKL_001263";"MPIPSYKL_003353";"MPIPSYKL_001667";"MPIPSYKL_002319";"MPIPSYKL_001048";"MPIPSYKL_002095";"MPIPSYKL_000637.1";"MPIPSYKL_002418.1";"MPIPSYKL_001701.1";"MPIPSYKL_003231.1";"MPIPSYKL_001263.1";"MPIPSYKL_001786.1";"MPIPSYKL_001946.1";"MPIPSYKL_000972.1";"MPIPSYKL_003331.1";"MPIPSYKL_003520.1";"MPIPSYKL_000988.1";"MPIPSYKL_004171.1";"MPIPSYKL_001766.1";"MPIPSYKL_003353.1";"MPIPSYKL_002319.1";"MPIPSYKL_001109.1";"MPIPSYKL_004251.1";"MPIPSYKL_000708.1";"MPIPSYKL_002095.1";"MPIPSYKL_002468.1";"MPIPSYKL_003472.1";"MPIPSYKL_004054.1";"MPIPSYKL_002802.1";"MPIPSYKL_003934.1";"MPIPSYKL_002383.1";"MPIPSYKL_004215.1";"MPIPSYKL_001113.1";"MPIPSYKL_001667.1";"MPIPSYKL_003013.1";"MPIPSYKL_001048.1";"MPIPSYKL_001389.1";"MPIPSYKL_003155.1";"MPIPSYKL_001886.1";"MPIPSYKL_003787.1";"MPIPSYKL_004246.1";"MPIPSYKL_002852.1";"MPIPSYKL_002613.1";"MPIPSYKL_003911.1";"MPIPSYKL_002604.1";"MPIPSYKL_002533.1";"MPIPSYKL_001547.1";"MPIPSYKL_004100.1";"MPIPSYKL_001386.1";"MPIPSYKL_003162.1";"MPIPSYKL_002658.1";"MPIPSYKL_004198";"MPIPSYKL_003785.1";"MPIPSYKL_002088.1"
"KI270438.1";111952;112352;401;"*";11,36;10,75;11,79;-1,02;2,13e-07;9,58e-07;1556,68;1160,44;2049,99;1801,36;3383,78;137,73;1254,91;636,23;1493,24;210,84;2553,98;1362,02;2662,76;312,59;2283,19;1599,6;977,98;4945,99;4023,82;2023,9;180,48;3198,22;5538,6;3857,04;3022,25;1300,31;502,97;1646,16;473,54;1123,77;1540,74;1110,29;652,39;1686,14;577,41;2732,77;3795,39;1633,64;1619,92;632,86;260,69;1111,68;433,75;504,2;3931,06;923,85;279,98;6037,41;4789,85;899,47;3974,56;4711,81;2146,15;3935,65;3960,62;1515,42;2600,18;1578,64;2552,47;2578,79;2474,26;6870,69;2985,51;3733,7;2128,75;6052,4;5163,72;5340,09;2093,3;1892,27;2321,84;2682,87;4573,82;2525,4;2752,5;1998,3;1489,16;5201,62;3001,22;1553,15;6031,08;7338,39;4840,79;1507,38;6755,93;4660,63;2232,52;5492,87;2300,41;5046,69;2760,09;3775,31;6791,07;889,99;1139,29
"KI270538.1";83622;84022;401;"*";5,39;4,46;5,94;-1,48;2,21e-07;9,94e-07;11,45;30,89;31,17;9,54;0;4,43;15,88;2,77;37,12;4,63;45,4;24,09;128,84;2,42;17,47;15,84;38,04;53,98;33,46;5,84;9,99;13,26;0;24,14;0;0;5,71;53,36;4,38;20,99;24,56;26,34;14,67;10,22;18,46;71,65;104,85;0;5,7;9,28;1,11;5,64;3,41;0;83,35;11,34;1,89;36,67;47,93;13,1;47,27;34,43;0;94,11;121,24;13,03;25,64;27,44;60,21;34,33;17,67;120,63;34,14;74,89;83,93;38,75;106,13;88,1;17,47;60,81;79,11;0;109,48;79,68;37,97;27,63;17,35;90,73;37,24;19,45;59,94;45,91;106,87;21,67;282,34;165,38;102,47;18,86;97,52;46,14;149,1;23,2;116,31;9,96;10,77
"KI270590.1";2227;2627;401;"*";6,62;5,95;7,06;-1,09;2,24e-07;1e-06;68,72;45,59;131,59;42,93;43,88;8,39;34,95;31,4;84,84;8,47;110,67;80,31;131,91;25,81;82,56;18,72;33,57;197,93;108,75;109,08;16,76;54,53;206,94;31,69;111,22;60,61;28,54;52,22;16,15;45,21;76,96;73,76;26,9;57,23;45,84;78,47;121,62;42,61;28,52;14,48;19,46;82,39;13,13;36,93;110,39;54,2;6,61;165,01;124,62;21,67;63,03;295,1;42,73;148,3;147,22;100,53;172,12;96,7;64,51;51,49;79,99;196,02;78,23;164,04;164,04;104,62;215,57;195,79;54,61;72,97;268,97;120,13;182,47;100,46;0;64,06;82,73;196,57;74,49;54,45;202,88;183,65;249,36;52,9;349,56;220,5;21,74;75,44;126,21;181;104,02;318,96;271,38;24,02;68,21
"GL000216.2";167672;168072;401;"*";6,02;5,34;6,47;-1,12;2,67e-07;1,19e-06;32,28;26,47;100,42;32,44;146,27;4,31;33,36;20,32;37,12;1,81;65,27;49,79;92,03;8,47;30,17;25,92;35,81;83,22;72,5;66,23;6,42;51,58;79,12;54,32;60,45;26,17;7,13;40,87;8,41;18,57;49,12;86,93;9,78;51,1;16,55;61,41;83,88;27,96;28,52;13,37;4,2;21,44;3,68;25,69;58,57;39,07;4,88;73,34;79,88;17,13;98,48;147,55;62,45;54,19;54,85;49,33;150,15;47,05;73,11;64,36;32,56;110,57;45,52;92,72;137,34;120,12;189,04;137,05;44,41;60,81;19,78;76,75;81,1;124,71;136,68;56,52;38,7;100,81;133,46;47,97;83;99,48;83,12;29,32;161,34;220,5;121,1;61,29;84,14;92,27;79,75;92,79;252;12,89;11,97
"KI270709.1";7308;7708;401;"*";7,3;6,66;7,74;-1,05;3,96e-07;1,74e-06;95,8;50,74;339,36;83,01;156,02;10,37;176,32;47,09;45,6;13,88;218,51;22,49;220,87;43,96;134,96;53,27;49,23;94,47;281,64;95,45;29,25;94,33;243,45;61,87;186,17;88,16;51,37;96,5;45,44;50,05;122,8;72,44;22,01;143,07;99,95;184,23;218,08;97,19;133,09;36,03;9,51;51,92;8,4;68,24;200,5;100,83;19,68;65,48;99,06;52,41;94,54;191,82;128,18;165,41;314,66;203,86;146,49;239,15;113,97;399,05;56,74;422,19;190,59;360,18;141,15;410,73;159,19;327,94;101,93;43,78;261,06;337,03;129,75;114,32;353,08;129,37;125,43;204,13;238,98;36,3;350,43;229,56;146,45;77,12;282,34;581,33;145,94;221,6;147,24;401,04;291,27;545,13;258,46;67,38;137,62
"KI270711.1";8800;9200;401;"*";6,32;5,71;6,75;-1,02;6,97e-07;3e-06;35,4;33,83;100,42;14,31;141,4;5,13;61,95;29,55;68,93;4,85;82,29;94,76;76,69;14,92;52,4;54,71;38,04;191,18;47,4;107,14;12,13;70,74;103,47;83;74,95;55,1;15,7;34,06;11,11;25,83;50,76;72,44;20,18;71,53;22,92;85,29;125,81;45,27;43,73;19,31;8,84;22,57;10,5;15,25;54,07;40,33;9,13;89,06;178,94;19,65;129,99;137,71;85,45;85,56;72,17;95,88;95,22;44,43;101,07;107,27;43,72;90,47;58,32;110,55;122,08;139,49;159,19;190,89;27,67;133,77;142,4;86,76;223,01;62,36;83,52;60,29;45,37;133,57;80,69;36,3;92,22;211,71;122,7;32,51;309,23;210,48;49,68;122,59;118,56;78,08;72,82;168,18;239,08;21,09;31,11
"KI270466.1";752;1152;401;"*";9,53;8,91;9,96;-1,03;7,36e-07;3,16e-06;139,53;327,98;831,08;383,55;2345,24;74,11;239,86;461,71;321,34;64,45;578,9;451,33;1177,99;226,68;409,64;322,51;327,86;935,67;992,71;777,23;173,7;430,36;1497,25;475,34;684,24;524,81;189,06;165,75;92,55;193,75;643,48;486;95,38;490,51;220,9;965,51;1182,65;238,32;420,19;75,02;72,08;283,28;143,1;166,99;885,33;391,98;40,63;804,12;923,46;80,63;909,93;1421,41;1248,91;1160,73;378,16;281,12;1746,88;658,64;842,94;1536,12;826,92;1339,46;672,77;841,6;1148,31;697,46;1018,15;1615,24;492,93;496,17;1799,72;680,73;1070,47;1628,17;998,49;438,34;683,2;776,21;934,19;283,92;530,26;839,18;1310,14;321,87;1539,41;1814,14;583,75;1452,19;1120,56;1135,68;1487,53;3235,98;1344;144,13;421,25
"GL000225.1";110369;110769;401;"*";5,06;4,4;5,5;-1,1;9,01e-07;3,83e-06;8,33;13,24;41,55;17,17;63,38;2,45;11,12;7,39;11,67;2,14;28,38;12,85;30,68;7,26;12,7;14,4;23,5;76,47;25,1;31,17;4,64;20,63;36,52;22,64;29,01;35,81;2,14;23,84;4,38;15,34;11,46;30,29;3,67;34,74;8,28;54,59;46,13;19,97;28,52;5,94;3,32;18,06;2,36;12,85;49,56;21,43;2,36;41,91;51,13;9,57;31,51;59,02;32,87;28,52;37,53;13,96;40,28;32,67;53,76;55,78;21,39;62,83;25,6;14,26;57,22;65,87;56,38;73,42;19,66;38,92;35,6;46,72;64,88;69,28;72,13;28,89;14,68;40,32;62,07;9,08;69,16;48,46;55,41;12,11;53,78;120,27;43,47;103,73;22,95;21,29;24,27;81,19;129,23;9,96;5,98
"KI270516.1";418;818;401;"*";6,15;5,5;6,59;-1,08;9,79e-07;4,15e-06;43,73;33,83;69,26;19,08;170,65;5,71;58,77;20,32;49,85;4,06;65,27;62,64;49,08;13,71;34,93;31,68;34,69;137,2;105,96;64,28;11,77;26,53;133,9;60,36;79,79;31,68;28,54;38,6;7,4;29,06;40,93;52,68;15,9;20,44;32,47;64,82;121,62;17,31;49,43;10,03;15,7;31,6;7,61;20,07;56,32;37,81;5,2;99,53;89,47;18,14;0;113,12;29,58;77;121,24;48,4;76,91;57,5;70,96;128,72;65,11;145,76;59,74;167,61;91,56;96,87;172,46;195,79;42,96;41,35;94,93;63,4;158,14;83,14;98,71;43,96;41,37;95,77;68,28;32,41;165,99;107,13;158,33;35,69;255,45;150,34;0;117,87;68,84;113,57;69,35;272,56;239,08;15,23;73
"GL000225.1";133555;133955;401;"*";5,41;4,75;5,85;-1,11;1,01e-06;4,26e-06;20,83;13,97;41,55;7,63;82,89;1,51;22,24;14,77;12,73;2,6;51,08;19,27;58,29;8,87;28,58;20,16;16,78;53,98;66,92;37,01;5,71;30,95;91,3;43,76;19,34;16,53;13,56;37,46;5,05;11,3;26,2;35,56;10,39;40,88;12,1;0;104,85;35,95;30,42;8,17;3,32;24,83;4,2;0;47,31;21,43;3,78;62,86;60,71;12,09;86,66;152,47;36,15;57,04;54,85;28,86;91,56;35,28;49,46;51,49;26,97;50,26;48,36;67,76;45,78;54,25;69,65;93;13,83;34,05;43,51;73,41;52,71;69,28;60,74;15,07;20,02;63;68,28;24,63;73,77;58,67;83,12;15,93;107,56;115,26;37,26;89,58;34,42;60,33;65,88;98,59;135,69;10,55;16,75
"KI270333.1";873;1273;401;"*";3,67;2,92;4,16;-1,32;1,07e-06;4,53e-06;2,08;5,15;13,85;5,72;48,76;1,17;4,77;0;7,42;2,03;5,68;9,64;30,68;4,44;12,7;5,76;3,36;13,5;16,73;11,69;2,14;7,37;36,52;4,53;14,51;6,89;5,71;4,54;2,02;2,42;24,56;3,95;2,45;0;2,55;0;0;0;3,8;1,86;1,33;10,16;1,84;0,8;6,76;2,52;1,42;28,81;9,59;0;15,76;39,35;26,29;28,52;2,89;7,45;10,99;11,76;19,35;34,33;10,23;22,62;12,8;14,26;15,26;38,75;6,63;19,58;8,01;7,3;23,73;6,67;20,27;17,32;22,78;7,54;5,34;15,12;18,62;2,59;32,28;12,75;19,79;17,85;13,44;70,16;12,42;28,29;11,47;10,65;13,87;46,39;12,92;3,52;19,15
"GL000216.2";173735;174135;401;"*";4,89;4,22;5,34;-1,1;1,15e-06;4,84e-06;10,41;19,12;51,94;17,17;53,63;2,1;14,3;11,08;22,27;1,92;19,86;14,46;30,68;2,02;15,88;12,96;10,07;51,73;44,62;37,01;3,21;23,58;18,26;40,74;21,76;11,02;3,57;9,08;5,05;7,27;13,1;38,19;7,95;8,18;11,46;34,12;41,94;15,98;13,31;4,09;5,09;18,06;5,25;8,03;38,3;21,43;3,31;34,05;38,34;6,05;0;44,27;39,44;14,26;40,41;19,55;47,61;20,91;43,01;60,07;20,46;70,37;36,98;32,09;41,96;46,5;39,8;88,1;16,75;24,32;15,82;16,68;48,66;41,57;49,36;26,38;8,01;37,8;43,45;9,08;64,55;63,77;83,12;17,85;107,56;105,24;40,37;37,72;30,6;31,94;27,74;46,39;142,15;8,79;10,77
"KI270538.1";81137;81537;401;"*";7,62;6,98;8,05;-1,05;1,26e-06;5,3e-06;68,72;133,84;164,48;54,38;555,84;13,87;73,07;38,78;139,99;20,09;221,35;167,04;457,09;20,17;152,42;60,47;111,9;224,92;228,66;99,34;24,61;72,22;213,02;116,19;123,31;64,74;22,12;135,1;31,64;83,96;119,53;123,8;40,35;134,89;81,49;279,76;515,84;107,84;129,29;41,6;15,48;75,62;17,33;27,3;234,29;81,92;11,34;185,97;274,8;48,38;161,5;354,12;98,6;362,19;306;100,53;161,14;177,73;264,49;364,72;105,11;399,58;163,57;342,34;297,57;185,99;417,87;636,31;61,16;260,25;367,85;196,88;462,25;443,42;208,81;130,62;97,41;405,75;242,08;95,94;295,1;168,35;277,07;80,31;820,12;315,72;310,5;202,74;261,97;223,59;332,87;289,96;665,54;62,69;71,8
"KI270736.1";166578;166978;401;"*";6,3;5,53;6,79;-1,21;1,73e-06;7,22e-06;54,15;50,01;76,18;8,59;58,51;6,29;0;12,93;50,91;5,76;53,92;69,06;159,52;10,49;76,21;35,99;45,88;107,96;105,96;109,08;13,91;22,11;18,26;93,56;72,53;31,68;23,54;54,49;14,47;32,29;80,23;48,73;19,57;77,66;29,28;0;159,36;0;38,03;21,17;8,62;54,17;10,24;8,03;96,87;41,59;9,29;138,82;134,21;23,68;0;270,51;52,59;125,48;138,56;51,2;131,84;81,02;109,67;0;56,74;173,4;103,83;156,91;87,74;158,87;179,09;48,95;37,13;94,86;0;36,71;202,74;173,21;117,69;71,59;56,04;163,81;176,91;59,64;179,83;104,58;201,86;40,15;275,62;185,42;121,1;0;89,87;127,76;128,3;86,99;258,46;29,3;56,25
"KI270544.1";716;1116;401;"*";3,21;1,77;3,91;-2,1;1,79e-06;7,45e-06;11,45;5,15;19,05;2,86;0;2,45;0;0;2,12;0,68;0;11,24;3,07;4,84;0;0;0;15,74;5,58;0;4,64;0;0;13,58;0;0;5,71;0;1,35;1,61;3,27;11,85;0;8,18;1,27;0;4,19;0;0;1,11;4,64;2,26;2,63;0;0;7,56;1,73;13,1;3,2;0;0;0;9,86;0;25,98;21,41;0;0;0;0;16,74;77,9;0;32,09;15,26;0;33,16;0;9,47;0;27,69;0;20,27;0;7,59;18,84;20,02;15,12;0;2,59;64,55;33,16;11,87;12,11;53,78;20,05;6,21;0;19,12;0;10,4;104,39;0;4,1;11,97
"GL000225.1";70703;71103;401;"*";5,62;5,05;6,03;-0,98;2,12e-06;8,76e-06;33,32;17,65;31,17;20,99;78,01;2,1;47,65;16,62;30,76;2,37;39,73;30,52;85,9;6,86;49,22;24,48;33,57;78,72;83,66;46,75;6,06;32,42;48,69;76,96;36,27;24,79;15,7;43,14;8,41;12,92;29,47;19,76;17,73;24,53;14,01;71,65;88,07;15,98;39,93;11,14;5,75;27,09;6,3;8,03;76,59;28,99;2,99;62,86;108,64;12,6;74,84;108,2;59,16;45,63;49,07;30,72;84,23;50,97;68,81;55,78;38,14;87,96;46,94;82,02;26,7;73,62;96,18;107,68;16,02;63,24;106,8;73,41;52,71;27,71;22,78;41,45;24,02;85,69;102,42;31,11;119,88;84,17;91,04;31,23;134,45;70,16;93,15;47,15;55,45;60,33;86,69;139,18;51,69;14,06;31,11
"KI270744.1";120520;120920;401;"*";6,27;5,67;6,69;-1,04;2,33e-06;9,58e-06;38,53;38,98;62,33;44,84;190,15;7,22;39,71;22,16;56,21;3,5;178,78;48,18;110,44;5,65;38,11;24,48;41,4;96,72;108,75;56,49;13,2;50,11;85,21;49,8;103,97;48,21;11,41;27,25;12,12;17,76;40,93;52,68;7,95;71,53;10,82;109,17;83,88;35,95;45,63;12,26;8,4;75,62;4,2;21,68;121,65;50,41;3,46;128,34;92,67;22,68;63,03;295,1;55,87;99,82;66,4;64,23;102,54;33,98;96,77;145,89;22,32;118,11;93,87;238,93;68,67;58,12;142,61;117,47;60,43;109,45;98,89;86,76;133,81;162,82;140,47;65,31;74,72;131,05;121,04;24,63;161,38;150,49;138,53;23,58;67,22;215,49;68,31;84,87;89,87;120,67;90,15;57,99;303,69;29,3;13,16
"KI270736.1";180714;181114;401;"*";6,07;5,49;6,47;-0,97;2,82e-06;1,15e-05;35,4;24,27;50,21;23,85;131,65;3,85;34,95;22,16;39,24;4,18;113,51;54,61;113,5;8,07;61,92;50,39;41,4;125,96;114,33;60,39;5,71;35,37;79,12;72,43;9,67;42,7;13,56;34,06;15,15;23,41;39,3;27,66;15,29;57,23;28,65;78,47;109,04;34,62;60,84;13;9,29;49,66;4,2;12,85;76,59;51,68;4,88;89,06;83,08;22,17;102,42;142,63;16,43;96,97;75,06;66,09;73,24;57,5;36,56;94,4;24,18;103,04;83,92;114,11;64,85;108,49;126,03;112,58;27,67;99,72;142,4;56,73;129,75;110,85;87,32;46,47;44,03;100,81;77,59;38,89;129,11;86,72;182,07;31,87;168,06;85,19;83,84;127,3;97,52;81,63;97,09;139,18;226,15;19,33;37,1
"GL000214.1";131567;131967;401;"*";6,13;5,38;6,61;-1,22;3,08e-06;1,25e-05;19,78;55,89;122,93;25,76;209,66;2,56;36,54;22,16;64,69;5,53;102,16;65,85;70,56;8,87;42,87;23,04;39,16;71,97;209,14;25,32;6,42;69,27;12,17;43,76;31,43;33,06;7,13;39,73;9,42;12,11;0;43,46;4,89;67,45;10,19;64,82;62,91;25,3;20,91;11,88;5,09;32,73;2,63;15,25;67,58;31,51;4,09;65,48;108,64;18,64;66,96;127,88;0;114,08;34,64;41,89;128,18;16,99;144,07;55,78;22,32;118,11;179,22;117,68;83,93;100,74;275,27;176,21;48,05;128,91;110,75;53,39;186,52;155,89;83,52;54,01;45,37;57,96;18,62;27,23;73,77;147,94;114,79;15,93;121;305,7;136,62;80,15;76,49;56,78;17,34;86,99;465,23;19,33;8,38
"KI270330.1";1108;1508;401;"*";6,5;5,9;6,91;-0,99;3,51e-06;1,42e-05;61,43;48,54;81,38;28,62;151,15;4,19;44,48;23,09;53,03;4,29;122,02;78,7;150,32;14,12;68,27;34,55;35,81;74,22;114,33;48,7;12,13;56,01;170,42;92,05;72,53;39,95;32,1;59,03;15,48;20,99;130,99;36,88;44,63;44,96;35,01;167,17;184,53;43,94;115,98;11,88;12,82;40,63;10,24;28,1;78,85;7,56;7,24;102,15;51,13;20,16;47,27;103,29;39,44;96,97;132,79;59,57;164,8;81,02;98,92;201,67;60,46;138,22;88,19;160,47;72,48;236,36;145,92;342,63;34,95;143,5;126,57;176,86;133,81;131,64;189,83;40,19;21,35;83,17;251,39;85,57;124,49;109,68;189,99;38,24;208,39;110,25;80,73;122,59;93,7;152,61;135,23;260,97;187,38;23,44;58,64
"KI270744.1";111013;111413;401;"*";8,28;7,67;8,7;-1;4,2e-06;1,69e-05;278,02;105,9;181,8;55,34;619,22;23,19;181,09;59,1;113,48;15,35;476,74;240,92;401,87;21,38;144,49;143,98;156,66;544,31;301,16;586,33;49,22;157,7;827,75;235,41;234,53;106,06;82,04;337,18;46,11;142,09;255,43;260,78;102,72;194,16;146,42;78,47;343,89;194,39;250,97;68,71;42,9;216,69;44,64;79,48;324,4;99,57;18,58;403,37;655,05;95,24;126,05;880,39;486,42;353,64;661,07;196,41;300,3;378,98;251,59;360,43;275,33;510,15;230,42;645,46;564,62;426,23;281,9;215,37;109,22;398,88;644,73;500,54;263,56;450,35;554,3;194,68;142,78;713,21;611,42;257,99;1148,12;359,65;890,58;93,69;732,73;370,85;462,65;721,38;390,09;461,37;284,33;0;568,61;77,92;201,05
"KI270509.1";275;675;401;"*";5,65;5;6,09;-1,08;5,79e-06;2,3e-05;31,24;33,09;91,76;13,36;68,26;3,03;28,59;12,93;44,54;4,63;48,24;61,03;27,61;6,05;33,34;11,52;16,78;112,46;39,04;38,96;8,56;26,53;103,47;40,74;62,86;27,55;17,84;34,06;7,74;32,29;29,47;39,51;23,85;38,83;18,46;105,76;0;17,31;20,91;7,06;10,61;48,53;7,35;20,07;27,03;0;2,99;78,58;38,34;15,12;0;206,57;29,58;74,15;92,38;47,47;91,56;50,97;0;0;52,09;95,5;45,52;64,19;87,74;46,5;109,44;146,84;30,58;55,94;110,75;43,38;93,26;72,75;79,73;23,86;33,36;153,73;43,45;28,52;78,39;58,67;130,62;29,32;80,67;130,3;40,37;70,72;70,75;134,86;38,14;52,19;142,15;7,03;74,2
"1";2653852;2654252;401;"*";5,6;4,97;6,03;-1;8,07e-06;3,16e-05;31,24;29,42;58,87;13,36;29,25;3,38;44,48;11,08;14,85;1,58;102,16;25,7;116,57;13,71;46,04;40,31;2,24;51,73;72,5;46,75;2,85;22,11;60,86;45,27;41,1;17,91;15,7;21,57;7,07;10,49;40,93;22,39;11,01;44,96;17,83;37,53;62,91;25,3;55,14;8,17;14,37;32,73;11,55;8,83;47,31;31,51;3,15;55;19,17;7,56;70,9;98,37;23,01;39,93;46,19;49,33;51,27;48,35;92,47;17,16;36,28;67,85;59,74;99,85;49,59;104,62;66,33;63,63;26,94;65,67;63,29;63,4;8,11;48,5;22,78;28,89;33,36;65,52;145,87;44,08;101,44;51,01;233,53;26,13;188,22;175,4;18,63;37,72;43,98;81,63;45,08;214,57;77,54;16,99;33,51
"1";144104224;144104624;401;"*";6,49;5,92;6,89;-0,96;8,53e-06;3,32e-05;47,9;32,36;65,79;38,16;209,66;3,26;65,13;29,55;43,48;3,72;124,86;48,18;227,01;13,31;55,57;53,27;70,5;101,21;125,48;99,34;4,28;98,75;73,04;102,61;58,03;26,17;17,12;72,66;7,74;37,94;26,2;96,15;18,34;69,49;32,47;88,7;180,33;46,6;28,52;11,51;11,28;66,59;11,03;24,09;110,39;59,24;5,67;136,2;169,35;25,7;98,48;334,45;101,88;68,45;164,54;71,68;120,85;95,4;116,12;85,82;53,95;90,47;115,21;153,34;106,82;162,74;92,86;97,89;40,77;111,88;55,38;100,11;64,88;173,21;98,71;42,7;64,05;146,17;93,11;102,42;165,99;140,29;249,36;40,15;208,39;175,4;263,93;84,87;70,75;102,92;142,17;150,78;284,31;21,09;39,49
"GL000225.1";56035;56435;401;"*";4,79;4,14;5,23;-1,08;1,11e-05;4,29e-05;8,33;23,53;55,41;9,54;43,88;0,93;20,65;11,08;19,09;4,29;42,57;6,42;18,41;9,28;12,7;15,84;10,07;38,24;36,25;33,11;2,85;5,9;12,17;27,16;41,1;31,68;8,56;9,08;4,38;4,04;26,2;14,49;4,89;10,22;3,82;61,41;29,36;15,98;32,32;7,8;3,98;4,51;2,63;10,44;24,78;6,3;2,05;26,19;31,95;6,55;11,82;83,61;16,43;42,78;17,32;21,41;43,95;36,59;15,05;12,87;7,44;72,88;22,76;35,66;34,33;65,87;63,01;14,68;23,3;34,05;35,6;43,38;20,27;41,57;121,49;27,63;25,35;63;34,14;9,08;50,72;12,75;75,2;30,59;87,39;160,37;31,05;0;3,82;53,24;17,34;40,59;64,62;4,1;4,79
"GL000220.1";142711;143111;401;"*";7,64;7,04;8,05;-0,97;1,54e-05;5,85e-05;78,09;86,04;121,2;62,02;433,94;13,05;193,8;42,48;107,11;9,14;235,53;147,77;923,38;49,61;65,1;84,95;133,16;130,45;248,18;112,98;5,71;131,17;231,28;178,06;128,14;28,93;43,52;139,64;19,18;80,73;106,43;213,36;65,42;128,76;49,02;221,76;549,39;58,58;112,18;33,43;25,21;80,13;17,33;17,66;135,17;104,61;14,33;251,45;140,6;45,86;208,77;329,53;92,02;139,74;360,84;248,54;223,4;101,93;208,58;257,45;112,55;261,36;231,84;306,68;244,16;185,99;295,16;401,36;88,83;206,74;94,93;163,51;344,66;422,63;193,62;159,51;149,45;405,75;353,81;180,21;161,38;300,98;411,65;50,35;1041,96;340,78;419,18;273,47;263,89;262,63;686,55;585,72;381,23;39,26;120,87
"KI270757.1";51401;51801;401;"*";5,09;4,21;5,62;-1,33;1,65e-05;6,24e-05;31,24;18,38;55,41;25,76;0;4,08;15,88;0;18,03;4,74;0;24,09;39,88;10,08;12,7;21,6;16,78;53,98;72,5;0;1,78;0;0;6,04;55,61;22,04;21,4;34,06;4,71;23,41;34,38;43,46;0;47,01;10,82;0;0;19,97;0;9,28;11,72;25,96;1,84;24,89;33,79;8,82;3,62;23,57;35,15;9,57;0;93,45;0;25,67;46,19;40,03;40,28;11,76;21,5;25,74;45,58;62,83;21,34;121,25;41,96;23,25;99,49;151,73;46,6;34,05;130,53;0;56,77;31,18;106,3;33,91;40,03;40,32;27,93;16,85;0;63,77;158,33;33,78;67,22;115,26;0;0;45,89;95,82;0;92,79;142,15;11,13;35,9
"1";121396384;121396784;401;"*";2,99;1,13;3,77;-2,44;2,85e-05;0,000105;0;0;0;5,72;0;2,68;0;0;6,36;2,03;0;0;0;0;0;10,08;0;20,24;0;0;1,07;0;0;0;0;0;2,85;0;2,36;0;0;13,17;1,22;0;4,46;0;0;0;0;2,97;0;15,8;2,89;0;0;6,3;2,99;23,57;22,37;0,5;0;4,92;0;34,22;0;29,79;0;13,07;0;0;23,25;98,01;27,02;85,59;0;38,75;0;0;16,75;0;0;0;48,66;0;0;33,91;4;0;21,73;7,78;0;43,36;0;13,38;0;0;0;0;5,74;0;13,87;0;0;14,65;28,72
"GL000220.1";138213;138613;401;"*";5,38;4,79;5,79;-0,99;5,21e-05;0,000185;17,7;24,27;29,43;11,45;24,38;4,08;50,83;21,24;20,15;2,6;53,92;19,27;223,94;10,89;6,35;24,48;26,86;42,73;33,46;33,11;1,78;16,21;24,35;46,78;38,68;23,42;7,85;30,65;4,71;19,38;21,29;0;7,95;51,1;6,37;23,88;138,4;18,64;19,01;6,69;7,08;32,73;2,36;9,63;38,3;18,91;5,67;78,58;51,13;9,07;63,03;98,37;29,58;42,78;89,49;62,37;76,91;18,3;49,46;30,04;14,88;50,26;38,4;92,72;19,07;77,5;39,8;29,37;14,56;24,32;39,55;13,35;72,99;34,64;45,56;46,47;32,02;75,6;18,62;25,93;55,33;15,3;150,41;9,56;188,22;35,08;74,52;47,15;80,31;99,37;235,79;75,39;64,62;5,86;21,54
